"time","y"
"Jan 1999",0.5283
"Feb 1999",0.4779
"Mar 1999",0.5878
"Apr 1999",0.7763
"May 1999",0.9882
"Jun 1999",0.9267
"Jul 1999",0.9744
"Aug 1999",0.9766
"Sep 1999",0.763
"Oct 1999",0.4438
"Nov 1999",0.2511
"Dec 1999",0.3869
"Jan 2000",0.5672
"Feb 2000",0.6083
"Mar 2000",0.5649
"Apr 2000",0.8729
"May 2000",0.9608
"Jun 2000",0.9721
"Jul 2000",0.9766
"Aug 2000",0.9631
"Sep 2000",0.9538
"Oct 2000",0.9493
"Nov 2000",0.7222
"Dec 2000",0.6565
"Jan 2001",0.5263
"Feb 2001",0.5404
"Mar 2001",0.6712
"Apr 2001",0.8839
"May 2001",0.5897
"Jun 2001",0.5323
"Jul 2001",0.4539
"Aug 2001",0.3305
"Sep 2001",0.2195
"Oct 2001",0.1992
"Nov 2001",0.1336
"Dec 2001",0.344
"Jan 2002",0.84
"Feb 2002",0.6086
"Mar 2002",0.7205
"Apr 2002",0.9225
"May 2002",0.9769
"Jun 2002",0.9999
"Jul 2002",0.9862
"Aug 2002",0.9791
"Sep 2002",0.9586
"Oct 2002",0.7056
"Nov 2002",0.5142
"Dec 2002",0.242
"Jan 2003",0.3578
"Feb 2003",0.3598
"Mar 2003",0.4861
"Apr 2003",0.661
"May 2003",0.8732
"Jun 2003",0.8864
"Jul 2003",0.9158
"Aug 2003",0.9
"Sep 2003",0.796
"Oct 2003",0.785
"Nov 2003",0.2852
"Dec 2003",0.1124
"Jan 2004",0.9975
"Feb 2004",0.6841
"Mar 2004",0.5286
"Apr 2004",0.9907
"May 2004",0.9701
"Jun 2004",0.9338
"Jul 2004",0.9315
"Aug 2004",0.909
"Sep 2004",0.9496
"Oct 2004",0.8977
"Nov 2004",0.6799
"Dec 2004",0.4145
"Jan 2005",0.4165
"Feb 2005",0.5224
"Mar 2005",0.6906
"Apr 2005",0.9862
"May 2005",0.9541
"Jun 2005",0.9634
"Jul 2005",0.9611
"Aug 2005",0.9701
"Sep 2005",0.9586
"Oct 2005",0.9656
"Nov 2005",0.5737
"Dec 2005",0.4821
"Jan 2006",0.5185
"Feb 2006",0.5695
"Mar 2006",0.7591
"Apr 2006",0.9975
"May 2006",0.9862
"Jun 2006",0.9541
"Jul 2006",0.9451
"Aug 2006",0.9679
"Sep 2006",0.936
"Oct 2006",0.9045
"Nov 2006",0.5266
"Dec 2006",0.5737
"Jan 2007",0.5449
"Feb 2007",0.6822
"Mar 2007",0.8222
"Apr 2007",0.9791
"May 2007",0.936
"Jun 2007",0.9428
"Jul 2007",0.9769
"Aug 2007",0.9293
"Sep 2007",0.8532
"Oct 2007",0.7918
"Nov 2007",0.5633
"Dec 2007",0.2344
"Jan 2008",0.242
"Feb 2008",0.2663
"Mar 2008",0.4165
"Apr 2008",0.9701
"May 2008",0.9791
"Jun 2008",0.9862
"Jul 2008",0.9315
"Aug 2008",0.9679
"Sep 2008",0.9541
"Oct 2008",0.785
"Nov 2008",0.6948
"Dec 2008",0.5881
"Jan 2009",0.5489
"Feb 2009",0.592
"Mar 2009",0.6005
"Apr 2009",0.8822
"May 2009",0.9791
"Jun 2009",0.9586
"Jul 2009",0.9541
