"time","y"
Jan 1999,0.4679
Feb 1999,0.4394
Mar 1999,0.5762
Apr 1999,0.5384
May 1999,0.4669
Jun 1999,0.4022
Jul 1999,0.3257
Aug 1999,0.2446
Sep 1999,0.1956
Oct 1999,0.1346
Nov 1999,0.1244
Dec 1999,0.1882
Jan 2000,0.3249
Feb 2000,0.4953
Mar 2000,0.6175
Apr 2000,0.6526
May 2000,0.6046
Jun 2000,0.5485
Jul 2000,0.4754
Aug 2000,0.3979
Sep 2000,0.3202
Oct 2000,0.2069
Nov 2000,0.2257
Dec 2000,0.3576
Jan 2001,0.4232
Feb 2001,0.3851
Mar 2001,0.3528
Apr 2001,0.2779
May 2001,0.2398
Jun 2001,0.2185
Jul 2001,0.1846
Aug 2001,0.1505
Sep 2001,0.1092
Oct 2001,0.063
Nov 2001,0.0672
Dec 2001,0.1066
Jan 2002,0.3304
Feb 2002,0.5354
Mar 2002,0.6003
Apr 2002,0.5982
May 2002,0.5245
Jun 2002,0.4548
Jul 2002,0.391
Aug 2002,0.3078
Sep 2002,0.2133
Oct 2002,0.1623
Nov 2002,0.1165
Dec 2002,0.1395
Jan 2003,0.2779
Feb 2003,0.4144
Mar 2003,0.4632
Apr 2003,0.4991
May 2003,0.4457
Jun 2003,0.4022
Jul 2003,0.3447
Aug 2003,0.283
Sep 2003,0.2191
Oct 2003,0.1466
Nov 2003,0.1154
Dec 2003,0.1133
Jan 2004,0.2735
Feb 2004,0.5284
Mar 2004,0.8825
Apr 2004,0.999
May 2004,0.9956
Jun 2004,0.9682
Jul 2004,0.915
Aug 2004,0.8216
Sep 2004,0.7116
Oct 2004,0.6121
Nov 2004,0.5494
Dec 2004,0.5689
Jan 2005,0.7082
Feb 2005,0.851
Mar 2005,0.9511
Apr 2005,0.999
May 2005,0.9724
Jun 2005,0.915
Jul 2005,0.8419
Aug 2005,0.7422
Sep 2005,0.6305
Oct 2005,0.5156
Nov 2005,0.481
Dec 2005,0.6715
Jan 2006,0.8355
Feb 2006,0.8228
