"time","y"
Jan 1999,0.3998
Feb 1999,0.4089
Mar 1999,0.6231
Apr 1999,0.6112
May 1999,0.5559
Jun 1999,0.4917
Jul 1999,0.4158
Aug 1999,0.3289
Sep 1999,0.2542
Oct 1999,0.1881
Nov 1999,0.2157
Dec 1999,0.2449
Jan 2000,0.3588
Feb 2000,0.6291
Mar 2000,0.7819
Apr 2000,0.7981
May 2000,0.7529
Jun 2000,0.6873
Jul 2000,0.6058
Aug 2000,0.5062
Sep 2000,0.4262
Oct 2000,0.3165
Nov 2000,0.2887
Dec 2000,0.3378
Jan 2001,0.3843
Feb 2001,0.3545
Mar 2001,0.3507
Apr 2001,0.3149
May 2001,0.273
Jun 2001,0.2415
Jul 2001,0.2055
Aug 2001,0.1698
Sep 2001,0.1338
Oct 2001,0.1015
Nov 2001,0.0987
Dec 2001,0.1887
Jan 2002,0.355
Feb 2002,0.5906
Mar 2002,0.7032
Apr 2002,0.7186
May 2002,0.6966
Jun 2002,0.6541
Jul 2002,0.5944
Aug 2002,0.5143
Sep 2002,0.4184
Oct 2002,0.3044
Nov 2002,0.2445
Dec 2002,0.2703
Jan 2003,0.4387
Feb 2003,0.5201
Mar 2003,0.5628
Apr 2003,0.5511
May 2003,0.5163
Jun 2003,0.4657
Jul 2003,0.4136
Aug 2003,0.3473
Sep 2003,0.2822
Oct 2003,0.2032
Nov 2003,0.1536
Dec 2003,0.1922
Jan 2004,0.3304
Feb 2004,0.5617
Mar 2004,0.8183
Apr 2004,0.9233
May 2004,0.9298
Jun 2004,0.9208
Jul 2004,0.8854
Aug 2004,0.8183
Sep 2004,0.7356
Oct 2004,0.6547
Nov 2004,0.6015
Dec 2004,0.6884
Jan 2005,0.8234
Feb 2005,0.8437
Mar 2005,0.9336
Apr 2005,0.94
May 2005,0.9368
Jun 2005,0.91
Jul 2005,0.8559
Aug 2005,0.7902
Sep 2005,0.7268
Oct 2005,0.6449
Nov 2005,0.6579
Dec 2005,0.7462
Jan 2006,0.7568
Feb 2006,0.7847
Mar 2006,0.9285
Apr 2006,0.9586
May 2006,0.9362
Jun 2006,0.8959
